executor_instances,executor_memory,driver_memory,machine_type,dag_duration,job_uuid,status
1,512m,1024m,e2-standard-4,458,0c27058c-cd35-4605-9bee-0b062219eacb,failed
1,7000m,512m,e2-standard-4,470,15feb418-b8c4-4e46-b642-df323a24773b,failed
15,512m,512m,e2-standard-4,417,296d4859-d4d0-4f9f-b6e1-076afb31b12a,success
4,512m,512m,e2-standard-4,430,34d3f4c8-afab-4628-adcb-b6e7c291ab2d,success
2,600m,512m,e2-standard-4,436,395f4a6b-ed91-4d44-9d7e-9d4e74f9869a,success
5,1024m,1024m,e2-standard-4,440,3eeb668b-5c58-410e-92e5-563689405ee7,success
6,600m,750m,e2-standard-4,421,44578b33-6bbb-4bf5-93bc-fb5b907b2f9a,success
6,650m,512m,e2-standard-4,421,500a2850-cc42-4047-85ec-1f677d1eb7d9,success
5,512m,750m,e2-standard-4,435,62a79a08-9d36-4504-82a7-bf3f412634b2,success
10,512m,2048m,e2-standard-4,439,6c6ce37d-6330-4a6d-9e7c-d3be1016134d,success
5,700m,1024m,e2-standard-4,431,80736c99-95d9-4980-b00b-6da3b3964845,success
5,300m,2048m,e2-standard-4,389,8de7f401-2913-4335-8cb3-f6b12e1651d7,failed
1,1024m,1024m,e2-standard-4,363,9da9e1a9-3023-4d3c-a437-2a7293cdde67,success
2,512m,1024m,e2-standard-4,444,b4336df5-2d9d-4a84-97fe-cb1bd0f08164,success
2,600m,750m,e2-standard-4,425,ce2c981a-eaab-46aa-8992-b300eeb81bd9,success
2,1024m,1024m,e2-standard-4,434,d6be565a-a5bb-4170-b271-921d7601e35c,success
10,2048m,2048m,e2-standard-4,436,d8359a00-6e86-42c1-896c-5fc2db0c1141,success
10,1024m,1024m,e2-standard-4,432,d9743f8b-2b21-415c-9164-232808ed542e,success
2,512m,512m,e2-standard-4,439,e81b0dc2-f053-4da7-8e87-7b9c75c9f701,success
2,500m,1024m,e2-standard-4,424,e84ecf32-c90f-4cd2-b87a-e6c9e9719d72,success
2,512m,512m,e2-standard-4,581,eca4f3e9-8ba4-492d-81d2-bdb8c2ec4c46,success
20,1024m,1024m,e2-standard-4,427,ed0aa7d7-4d47-4933-8c5f-4ccbdd301034,success
4,550m,600m,e2-standard-4,420,f006b3f7-fa8d-4763-9e3a-f0619d943532,success
30,1024m,1024m,e2-standard-4,431,f1f0bc53-5d02-4f2a-bf5b-a411d107cb1f,success
6,600m,512m,e2-standard-4,444,f25a38ef-5f64-42eb-91aa-063f15698fd1,success
2,550m,600m,e2-standard-4,424,fbbc0c66-ca04-4d04-93e4-ad1598e58042,success
5,1024m,1024m,e2-standard-4,440,fd90cef7-647a-4acc-9357-821f7d56e8f0,success
